Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp51652	801	3	0	3	1	4	0	0	0	3	2	3	0
sapp51653	4429	224	557	230	687	252	612	260	811	462	952	365	919
sapp51667	1310	241	10	415	27	293	55	160	47	175	39	191	24
sapp51666	1288	85	0	54	1	35	2	6	1	22	0	16	0
sapp23513	809	16	3	79	2	32	7	41	1	40	3	29	2
sapp23511	1757	200	128	353	243	264	232	263	233	320	198	328	209
sapp23515	1260	26	6	39	15	32	5	17	2	25	7	18	1
sapp23509	1455	0	0	0	0	0	0	0	0	0	0	0	0
sapp23514	783	9	5	39	21	36	9	9	18	56	4	8	3
sapp23516	1578	0	0	0	0	0	0	2	0	2	0	2	1
sapp23521	483	0	0	0	0	0	0	0	0	0	0	93	39
sapp23520	192	0	0	0	0	0	0	0	0	0	0	0	0
sapp23522	1291	849	106	1442	319	1241	380	798	354	923	281	1144	246
sapp23519	1684	24	21	97	42	86	60	40	20	292	62	47	63
sapp23526	2299	230	51	279	189	202	258	81	123	91	114	57	86
sapp23524	1074	1	0	0	0	0	0	1	0	0	0	0	0
sapp23517	462	0	0	1	0	0	0	1	0	1	0	3	5
sapp23518	303	0	0	0	0	1	0	0	0	2	0	1	0
sapp23523	819	5	31	2	42	9	16	7	85	30	157	22	101
sapp23531	504	0	0	0	0	0	0	0	0	0	0	0	0
sapp23528	1644	0	0	0	0	0	0	0	0	0	0	0	0
sapp23530	663	0	0	0	0	0	0	0	1	0	0	0	0
sapp23535	744	0	0	0	0	0	0	0	0	0	0	0	0
sapp23537	453	0	0	0	0	0	0	0	0	0	0	0	0
sapp23544	192	0	0	1	0	1	1	2	0	0	0	1	0
sapp23546	330	0	1	0	1	0	0	0	3	2	4	0	3
sapp23542	3972	11	6	22	19	31	11	23	23	20	22	17	9
sapp23547	2787	0	0	0	0	0	0	0	0	0	0	0	0
sapp23541	2325	18	3	23	16	12	8	12	8	12	10	12	12
sapp23539	915	0	2	4	4	6	0	2	1	4	1	5	3
sapp23548	1891	1201	2350	706	2107	1224	2794	1377	3468	2085	4425	1758	3753
sapp23552	1678	581	121	1370	318	918	284	554	309	727	269	587	209
sapp23555	1827	0	0	0	0	0	0	0	1	0	0	0	0
sapp23556	723	0	0	0	0	0	0	0	0	0	0	0	0
sapp23554	393	0	0	0	0	0	0	0	0	0	0	0	0
sapp23559	1161	0	0	0	0	0	1	1	2	2	0	1	0
sapp23558	1021	585	97	1183	288	1125	334	550	267	1224	285	840	243
sapp23561	240	0	0	0	0	1	0	0	0	0	0	0	0
sapp23562	336	0	0	0	0	0	1	0	0	0	0	0	0
sapp23567	339	0	0	1	0	6	0	0	0	2	0	0	0
sapp23565	327	0	1	0	0	0	0	0	0	0	0	2	0
sapp23564	363	0	0	0	0	0	0	0	0	0	0	0	0
sapp23570	777	0	0	0	0	0	0	0	0	0	0	0	0
sapp23568	2169	0	0	0	0	0	0	0	0	0	0	0	0
sapp23575	330	0	0	0	0	0	0	0	0	0	0	0	0
sapp23577	1799	281	2473	186	3029	417	2389	473	3605	1378	4037	504	3728
sapp23576	876	0	0	0	0	0	0	0	0	3	0	0	0
sapp23578	423	0	0	0	0	0	0	0	0	0	0	0	0
sapp23580	525	0	0	0	0	0	0	0	0	0	0	0	0
sapp55737	570	1	0	3	0	1	0	0	2	1	0	0	2
sapp53169	164	0	0	0	0	0	0	0	0	0	0	0	0
sapp53169	625	0	0	0	0	0	0	0	0	0	0	0	0
sapp53169	750	0	0	0	0	2	0	16	9	8	15	8	4
sapp53169	189	0	0	0	0	0	0	0	0	0	0	0	0
sapp53169	1073	0	0	0	0	0	0	1	0	0	0	0	0
sapp53169	600	0	0	0	0	0	0	0	0	0	0	0	0
sapp53174	4602	0	0	2	0	0	0	0	0	0	0	2	0
sapp53176	760	0	0	0	0	0	0	0	0	0	0	0	0
sapp53176	2711	15	8	22	23	11	5	35	122	72	128	20	73
sapp53176	1081	0	0	0	0	0	0	0	0	1	0	0	0
sapp53170	3606	12	12	53	33	54	46	112	406	334	716	175	458
sapp53171	1810	0	0	0	1	1	1	0	0	6	13	16	11
sapp53699	715	0	0	0	0	0	0	0	0	0	0	0	0
sapp53699	822	0	0	0	0	0	0	0	0	0	0	0	0
sapp53697	777	189	2481	117	3290	310	2550	291	4224	1470	4690	472	4352
sapp50934	1752	0	0	0	0	1	2	0	3	0	0	0	0
sapp54110	240	0	0	0	0	0	0	0	0	0	0	0	0
