Description	ID	lycopersicum	appendiculatum	inflata	tuberosum	sinuosa	axillaris	attenuata
OG0000425	OG0000425	3	2	9	7	3	6	2
OG0000426	OG0000426	2	9	6	5	1	6	3
OG0000427	OG0000427	1	8	13	2	1	6	1
OG0000428	OG0000428	6	1	7	5	1	10	2
OG0000429	OG0000429	1	6	9	1	0	8	7
OG0000430	OG0000430	0	0	21	0	0	11	0
OG0000431	OG0000431	20	5	2	1	0	4	0
OG0000432	OG0000432	16	6	4	4	0	2	0
OG0000433	OG0000433	0	1	0	10	1	0	19
OG0000434	OG0000434	5	2	6	4	2	6	6
OG0000435	OG0000435	1	1	0	2	27	0	0
OG0000436	OG0000436	6	1	7	4	2	10	1
OG0000437	OG0000437	5	5	2	11	3	3	2
OG0000438	OG0000438	0	3	8	1	6	11	2
OG0000439	OG0000439	4	4	4	3	4	6	6
OG0000440	OG0000440	8	6	4	3	3	4	3
OG0000441	OG0000441	7	4	5	5	3	3	4
OG0000442	OG0000442	0	4	18	0	4	0	5
OG0000443	OG0000443	6	10	0	8	6	1	0
OG0000444	OG0000444	4	4	4	6	3	4	6
OG0000445	OG0000445	4	5	3	8	1	2	8
OG0000446	OG0000446	7	6	1	8	7	1	1
OG0000447	OG0000447	8	15	0	3	5	0	0
OG0000448	OG0000448	2	2	8	3	1	10	5
OG0000449	OG0000449	4	5	8	4	3	3	4
OG0000450	OG0000450	2	2	7	5	3	9	3
OG0000451	OG0000451	3	4	6	6	1	6	5
OG0000452	OG0000452	20	5	1	2	1	1	1
OG0000453	OG0000453	0	4	0	0	1	0	26
OG0000454	OG0000454	11	6	2	5	0	5	2
OG0000455	OG0000455	0	28	0	2	0	1	0
OG0000456	OG0000456	5	3	3	8	2	5	4
OG0000457	OG0000457	1	12	0	1	6	0	10
OG0000458	OG0000458	6	4	5	4	4	4	3
OG0000459	OG0000459	2	1	3	10	12	2	0
OG0000460	OG0000460	5	4	5	4	2	5	5
OG0000461	OG0000461	0	0	1	0	14	3	12
OG0000462	OG0000462	3	3	5	5	3	10	1
OG0000463	OG0000463	0	1	0	1	24	0	4
OG0000464	OG0000464	5	7	3	7	4	4	0
OG0000465	OG0000465	16	1	2	6	1	2	2
OG0000466	OG0000466	4	3	2	3	3	11	4
OG0000467	OG0000467	3	3	5	5	3	6	5
OG0000468	OG0000468	4	5	7	4	1	4	5
OG0000469	OG0000469	0	3	0	0	5	0	22
OG0000470	OG0000470	2	5	3	5	4	6	5
OG0000471	OG0000471	6	7	2	5	3	3	4
OG0000472	OG0000472	3	6	4	8	3	3	3
OG0000473	OG0000473	10	3	6	4	2	2	3
OG0000474	OG0000474	5	4	8	3	4	5	1
OG0000475	OG0000475	6	6	2	2	6	3	5
OG0000476	OG0000476	2	8	4	0	4	5	7
OG0000477	OG0000477	1	9	1	5	2	0	12
OG0000478	OG0000478	4	13	0	4	5	0	4
OG0000479	OG0000479	5	3	4	5	5	3	5
OG0000480	OG0000480	5	4	0	17	4	0	0
OG0000481	OG0000481	1	2	11	7	1	5	3
OG0000482	OG0000482	6	1	2	19	1	1	0
OG0000483	OG0000483	7	1	8	5	2	4	3
OG0000484	OG0000484	0	1	15	1	3	10	0
OG0000485	OG0000485	3	3	7	6	2	5	4
OG0000486	OG0000486	2	7	6	8	1	4	2
OG0000487	OG0000487	4	3	8	4	2	3	6
OG0000488	OG0000488	7	8	1	7	3	1	3
OG0000489	OG0000489	4	8	5	5	1	4	3
OG0000490	OG0000490	7	3	9	0	0	10	1
OG0000491	OG0000491	7	4	6	5	0	4	4
OG0000492	OG0000492	0	0	16	0	0	14	0
OG0000493	OG0000493	1	1	0	28	0	0	0
OG0000494	OG0000494	4	4	2	13	3	1	2
OG0000495	OG0000495	2	3	10	2	4	7	1
OG0000496	OG0000496	7	1	4	6	1	3	7
OG0000497	OG0000497	2	1	0	3	23	0	0
OG0000498	OG0000498	2	10	3	2	6	4	2
OG0000499	OG0000499	6	3	3	5	5	2	5
OG0000500	OG0000500	0	1	0	1	1	0	26
OG0000501	OG0000501	2	3	0	0	17	7	0
OG0000502	OG0000502	3	7	7	3	4	3	2
OG0000503	OG0000503	4	3	4	5	8	2	3
OG0000504	OG0000504	2	4	0	3	7	6	7
OG0000505	OG0000505	12	7	1	1	8	0	0
OG0000506	OG0000506	5	4	4	4	3	4	5
OG0000507	OG0000507	5	5	2	3	1	3	10
OG0000508	OG0000508	3	3	7	3	2	8	3
OG0000509	OG0000509	0	1	11	1	3	10	3
OG0000510	OG0000510	4	5	5	4	5	1	5
OG0000511	OG0000511	1	13	4	5	2	3	1
OG0000512	OG0000512	4	4	5	4	4	4	4
OG0000513	OG0000513	0	0	0	27	2	0	0
OG0000514	OG0000514	5	5	4	2	5	4	4
OG0000515	OG0000515	7	9	0	2	3	0	8
OG0000516	OG0000516	4	5	5	4	2	4	5
OG0000517	OG0000517	6	0	2	3	6	1	11
OG0000518	OG0000518	4	4	6	4	3	7	1
OG0000519	OG0000519	4	4	6	4	1	5	5
OG0000520	OG0000520	0	3	0	25	1	0	0
OG0000521	OG0000521	3	4	6	8	3	3	2
OG0000522	OG0000522	1	1	7	1	3	8	8
OG0000523	OG0000523	13	3	4	3	1	5	0
OG0000524	OG0000524	3	5	5	4	3	5	4
OG0000525	OG0000525	4	4	6	4	2	4	5
OG0000526	OG0000526	4	4	5	3	4	5	4
OG0000527	OG0000527	3	2	7	6	2	8	1
